date,sku,units_sold,price,promo_flag
2023-08-24,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,15,59.81,0
2023-08-25,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,14,57.42,0
2023-08-26,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,15,60.58,0
2023-08-27,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,17,58.32,0
2023-08-28,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,5,57.35,0
2023-08-29,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,11,57.54,0
2023-08-30,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,11,58.07,0
2023-08-31,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,14,59.93,0
2023-09-01,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,11,57.12,0
2023-09-02,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,17,57.22,0
2023-09-03,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,16,61.96,0
2023-09-04,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,10,58.48,0
2023-09-05,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,11,59.59,0
2023-09-06,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,13,60.36,0
2023-09-07,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,8,58.8,0
2023-09-08,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,17,57.54,0
2023-09-09,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,15,61.5,0
2023-09-10,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,16,62.69,0
2023-09-11,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,15,58.61,0
2023-09-12,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,16,60.68,0
2023-09-13,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,11,61.44,0
2023-09-14,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,6,58.59,0
2023-09-15,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,18,57.24,0
2023-09-16,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,17,59.81,0
2023-09-17,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,19,60.18,0
2023-09-18,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,14,58.4,0
2023-09-19,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,17,60.25,0
2023-09-20,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,13,59.99,0
2023-09-21,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,14,60.52,0
2023-09-22,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,18,57.38,0
2023-09-23,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,21,60.35,0
2023-09-24,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,20,57.66,0
2023-09-25,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,17,59.34,0
2023-09-26,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,17,62.18,0
2023-09-27,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,18,60.64,0
2023-09-28,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,16,57.69,0
2023-09-29,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,14,62.35,0
2023-09-30,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,18,61.46,0
2023-10-01,ASYMMETRICAL_WOOL_AND_SILK_BLEND_SWEATER,20,58.01,0
